iter	Passed	Remaining
189	2584	24619
190	2599	24623
191	2614	24618
192	2628	24605
193	2641	24591
194	2653	24561
195	2664	24528
196	2677	24502
197	2689	24478
198	2701	24450
199	2713	24422
200	2725	24393
201	2738	24373
202	2750	24345
203	2761	24316
204	2774	24290
205	2787	24276
206	2800	24255
207	2812	24232
208	2825	24212
209	2839	24199
210	2851	24178
211	2864	24160
212	2876	24135
213	2889	24116
214	2902	24094
215	2914	24069
216	2925	24037
217	2938	24019
218	2951	24006
219	2967	24008
220	2982	24006
221	2997	24004
222	3010	23987
223	3025	23986
224	3049	24055
225	3068	24087
226	3080	24063
227	3093	24040
228	3105	24015
229	3118	23997
230	3131	23979
231	3144	23959
232	3156	23935
233	3168	23911
234	3180	23887
235	3192	23862
236	3206	23849
237	3221	23848
238	3236	23848
239	3253	23855
240	3264	23827
241	3277	23808
242	3288	23780
243	3300	23755
244	3312	23727
245	3323	23699
246	3336	23681
247	3349	23661
248	3363	23650
249	3378	23650
250	3399	23684
251	3413	23680
252	3427	23665
253	3440	23651
254	3453	23631
255	3465	23610
256	3479	23594
257	3490	23570
258	3502	23547
259	3515	23525
260	3528	23508
261	3541	23491
262	3553	23467
263	3566	23452
264	3582	23452
265	3594	23434
266	3607	23414
267	3620	23400
268	3633	23382
269	3647	23368
270	3660	23351
271	3673	23335
272	3685	23316
273	3698	23300
274	3711	23279
275	3723	23256
276	3735	23234
277	3746	23205
278	3758	23185
279	3771	23167
280	3791	23196
281	3805	23184
282	3818	23165
283	3833	23165
284	3856	23204
285	3869	23189
286	3881	23164
287	3891	23135
288	3903	23111
289	3919	23109
290	3931	23091
291	3944	23074
292	3956	23049
293	3968	23027
294	3980	23003
295	3992	22986
296	4010	22996
297	4023	22982
298	4036	22962
299	4049	22945
300	4061	22922
301	4072	22898
302	4084	22877
303	4097	22857
304	4110	22841
305	4122	22822
306	4134	22802
307	4146	22780
308	4160	22765
309	4173	22749
310	4187	22742
311	4205	22751
312	4220	22745
313	4235	22739
314	4247	22719
315	4260	22703
316	4272	22683
317	4284	22662
318	4295	22637
319	4306	22611
320	4318	22589
321	4330	22569
322	4342	22547
323	4354	22523
324	4367	22507
325	4379	22487
326	4391	22467
327	4403	22449
328	4417	22437
329	4431	22427
330	4448	22431
331	4463	22426
332	4477	22415
333	4491	22404
334	4506	22396
335	4518	22379
336	4532	22366
337	4545	22349
338	4558	22333
339	4571	22319
340	4588	22322
341	4608	22343
342	4626	22348
343	4643	22354
344	4657	22344
345	4671	22330
346	4684	22315
347	4696	22294
348	4708	22272
349	4720	22255
350	4733	22236
351	4746	22220
352	4757	22199
353	4769	22178
354	4782	22162
355	4797	22152
356	4810	22137
357	4822	22121
358	4835	22101
359	4847	22082
360	4860	22065
361	4872	22048
362	4885	22032
363	4898	22014
364	4910	21995
365	4922	21974
366	4934	21956
367	4947	21940
368	4958	21917
369	4971	21900
370	4984	21884
371	4997	21870
372	5010	21854
373	5022	21836
374	5035	21821
375	5048	21804
376	5061	21788
377	5074	21772
378	5087	21759
379	5099	21741
380	5112	21725
381	5125	21708
382	5137	21691
383	5150	21673
384	5163	21659
385	5176	21643
386	5189	21629
387	5202	21614
388	5215	21597
389	5228	21583
390	5240	21565
391	5253	21550
392	5265	21532
393	5278	21515
394	5290	21496
395	5302	21479
396	5315	21461
397	5327	21443
398	5340	21428
399	5352	21409
400	5364	21393
401	5377	21375
402	5391	21364
403	5404	21349
404	5417	21336
405	5430	21319
406	5443	21304
407	5455	21287
